"company_names"
"NVDA"
"AAPL"
"MSFT"
"AMZN"
"GOOGL"
"GOOG"
"WMT"
"BRK-B"
"JPM"
"LLY"
"XOM"
"AMD"
"MU"
"JNJ"
"ORCL"
"COST"
"INTC"
"NFLX"
"CAT"
"BAC"
"CVX"
"CSCO"
"PG"
"HD"
"LRCX"
"AMAT"
"KO"
"UNH"
"MS"
"GE"
"MRK"
"GS"
"KLAC"
"TXN"
"WFC"
"LIN"
"RTX"
"C"
"IBM"
"AXP"
"MCD"
"PEP"
"NEE"
"ADI"
"VZ"
"AMGN"
"APH"
"T"
"BA"
"DIS"
